cited_count,count,prob
7111,2,5.159514251339391e-08
2577,1,2.5797571256696954e-08
2158,1,2.5797571256696954e-08
3161,1,2.5797571256696954e-08
463,131,3.3794818346273007e-06
551,76,1.9606154155089686e-06
1200,5,1.2898785628348477e-07
853,31,7.997247089576056e-07
1542,7,1.8058299879687866e-07
939,15,3.869635688504543e-07
830,20,5.159514251339391e-07
1471,1,2.5797571256696954e-08
2033,1,2.5797571256696954e-08
1329,9,2.3217814131027257e-07
5224,1,2.5797571256696954e-08
9330,1,2.5797571256696954e-08
2181,2,5.159514251339391e-08
1319,6,1.5478542754018172e-07
2508,2,5.159514251339391e-08
5733,1,2.5797571256696954e-08
19127,1,2.5797571256696954e-08
1460,1,2.5797571256696954e-08
4370,1,2.5797571256696954e-08
2309,1,2.5797571256696954e-08
4066,1,2.5797571256696954e-08
3634,1,2.5797571256696954e-08
188,1433,3.6967919610846735e-05
693,49,1.2640809915781507e-06
399,164,4.2308016860983005e-06
2942,1,2.5797571256696954e-08
1483,4,1.0319028502678782e-07
2116,1,2.5797571256696954e-08
2807,1,2.5797571256696954e-08
8945,1,2.5797571256696954e-08
1052,10,2.5797571256696954e-07
1199,9,2.3217814131027257e-07
1458,5,1.2898785628348477e-07
2684,1,2.5797571256696954e-08
3692,1,2.5797571256696954e-08
5422,1,2.5797571256696954e-08
1445,5,1.2898785628348477e-07
2300,1,2.5797571256696954e-08
2854,1,2.5797571256696954e-08
3092,1,2.5797571256696954e-08
3909,1,2.5797571256696954e-08
126,4244,0.00010948489241342187
274,527,1.3595320052279293e-05
202,1171,3.0208955941592133e-05
889,13,3.353684263370604e-07
228,816,2.1050818145464713e-05
529,71,1.8316275592254836e-06
2014,3,7.739271377009086e-08
844,19,4.901538538772421e-07
3284,1,2.5797571256696954e-08
2717,1,2.5797571256696954e-08
1768,2,5.159514251339391e-08
1730,1,2.5797571256696954e-08
4406,1,2.5797571256696954e-08
1988,2,5.159514251339391e-08
2314,1,2.5797571256696954e-08
4288,1,2.5797571256696954e-08
5222,1,2.5797571256696954e-08
3076,2,5.159514251339391e-08
5155,1,2.5797571256696954e-08
1591,1,2.5797571256696954e-08
262,632,1.6304065034232474e-05
325,334,8.616388799736782e-06
406,182,4.695157968718845e-06
624,55,1.4188664191183323e-06
1567,6,1.5478542754018172e-07
998,13,3.353684263370604e-07
2227,1,2.5797571256696954e-08
1899,2,5.159514251339391e-08
3636,1,2.5797571256696954e-08
3399,2,5.159514251339391e-08
7224,1,2.5797571256696954e-08
6563,1,2.5797571256696954e-08
3823,1,2.5797571256696954e-08
5453,1,2.5797571256696954e-08
734,41,1.0577004215245751e-06
691,40,1.0319028502678782e-06
1415,7,1.8058299879687866e-07
570,66,1.702639702941999e-06
1508,7,1.8058299879687866e-07
1799,3,7.739271377009086e-08
2537,1,2.5797571256696954e-08
4463,1,2.5797571256696954e-08
1986,3,7.739271377009086e-08
1908,1,2.5797571256696954e-08
1766,3,7.739271377009086e-08
1776,2,5.159514251339391e-08
2080,2,5.159514251339391e-08
10534,1,2.5797571256696954e-08
2998,1,2.5797571256696954e-08
149,2689,6.93696691092581e-05
50,43285,0.0011166478718461275
94,9287,0.0002395820442609446
2162,3,7.739271377009086e-08
1038,12,3.0957085508036343e-07
14179,1,2.5797571256696954e-08
421,152,3.921230831017937e-06
4608,1,2.5797571256696954e-08
1816,1,2.5797571256696954e-08
2477,1,2.5797571256696954e-08
1174,8,2.0638057005357563e-07
5949,1,2.5797571256696954e-08
6719,1,2.5797571256696954e-08
22425,1,2.5797571256696954e-08
1895,3,7.739271377009086e-08
1949,1,2.5797571256696954e-08
6298,1,2.5797571256696954e-08
6761,1,2.5797571256696954e-08
4020,1,2.5797571256696954e-08
2071,1,2.5797571256696954e-08
4859,1,2.5797571256696954e-08
264,589,1.5194769470194505e-05
600,67,1.7284372741986959e-06
638,50,1.2898785628348476e-06
961,14,3.611659975937573e-07
1064,16,4.1276114010715126e-07
876,16,4.1276114010715126e-07
1110,13,3.353684263370604e-07
1210,2,5.159514251339391e-08
1302,5,1.2898785628348477e-07
2119,1,2.5797571256696954e-08
1756,1,2.5797571256696954e-08
1789,2,5.159514251339391e-08
4933,1,2.5797571256696954e-08
1632,2,5.159514251339391e-08
2149,1,2.5797571256696954e-08
229,858,2.2134316138245985e-05
650,67,1.7284372741986959e-06
1485,4,1.0319028502678782e-07
3136,1,2.5797571256696954e-08
1969,4,1.0319028502678782e-07
1343,9,2.3217814131027257e-07
1212,13,3.353684263370604e-07
2196,2,5.159514251339391e-08
1185,7,1.8058299879687866e-07
1559,3,7.739271377009086e-08
1606,3,7.739271377009086e-08
1119,12,3.0957085508036343e-07
9132,1,2.5797571256696954e-08
3802,1,2.5797571256696954e-08
1376,5,1.2898785628348477e-07
2590,1,2.5797571256696954e-08
5051,1,2.5797571256696954e-08
12749,1,2.5797571256696954e-08
1846,3,7.739271377009086e-08
1930,3,7.739271377009086e-08
2558,2,5.159514251339391e-08
3173,1,2.5797571256696954e-08
8156,1,2.5797571256696954e-08
110,6015,0.00015517239110903218
190,1459,3.763865646352085e-05
439,154,3.972825973531331e-06
275,503,1.2976178342118567e-05
343,319,8.229425230886327e-06
902,14,3.611659975937573e-07
629,51,1.3156761340915446e-06
706,34,8.771174227276964e-07
2530,1,2.5797571256696954e-08
737,27,6.965344239308177e-07
1964,2,5.159514251339391e-08
2182,4,1.0319028502678782e-07
21802,1,2.5797571256696954e-08
17222,1,2.5797571256696954e-08
2098,4,1.0319028502678782e-07
5528,1,2.5797571256696954e-08
3410,1,2.5797571256696954e-08
2215,1,2.5797571256696954e-08
3366,1,2.5797571256696954e-08
1598,2,5.159514251339391e-08
2596,1,2.5797571256696954e-08
57,31909,0.000823174701229943
136,3405,8.784073012905312e-05
513,90,2.321781413102726e-06
1002,18,4.6435628262054515e-07
828,34,8.771174227276964e-07
936,22,5.67546567647333e-07
1407,6,1.5478542754018172e-07
3105,1,2.5797571256696954e-08
1607,4,1.0319028502678782e-07
3258,2,5.159514251339391e-08
1213,5,1.2898785628348477e-07
2377,2,5.159514251339391e-08
1728,2,5.159514251339391e-08
2982,1,2.5797571256696954e-08
3343,1,2.5797571256696954e-08
144,3066,7.909535347303285e-05
388,187,4.82414582500233e-06
417,167,4.308194399868391e-06
963,16,4.1276114010715126e-07
412,172,4.437182256151876e-06
2021,3,7.739271377009086e-08
3594,2,5.159514251339391e-08
2526,3,7.739271377009086e-08
2192,3,7.739271377009086e-08
3698,2,5.159514251339391e-08
1571,1,2.5797571256696954e-08
1911,2,5.159514251339391e-08
9938,1,2.5797571256696954e-08
4557,3,7.739271377009086e-08
1710,1,2.5797571256696954e-08
1956,1,2.5797571256696954e-08
13856,1,2.5797571256696954e-08
2041,1,2.5797571256696954e-08
3655,1,2.5797571256696954e-08
3437,1,2.5797571256696954e-08
1025,11,2.837732838236665e-07
2404,1,2.5797571256696954e-08
1240,5,1.2898785628348477e-07
1937,2,5.159514251339391e-08
1283,6,1.5478542754018172e-07
1219,7,1.8058299879687866e-07
7474,1,2.5797571256696954e-08
909,15,3.869635688504543e-07
2939,1,2.5797571256696954e-08
1256,4,1.0319028502678782e-07
2784,1,2.5797571256696954e-08
4275,1,2.5797571256696954e-08
2336,3,7.739271377009086e-08
1771,3,7.739271377009086e-08
2470,2,5.159514251339391e-08
4254,1,2.5797571256696954e-08
3617,1,2.5797571256696954e-08
5847,1,2.5797571256696954e-08
2235,1,2.5797571256696954e-08
1549,1,2.5797571256696954e-08
32,116362,0.0030018569865717707
43,61464,0.0015856219197216215
555,76,1.9606154155089686e-06
696,42,1.083497992781272e-06
1089,17,4.385587113638482e-07
752,38,9.803077077544843e-07
420,162,4.179206543584906e-06
1134,3,7.739271377009086e-08
1550,7,1.8058299879687866e-07
2077,1,2.5797571256696954e-08
1073,14,3.611659975937573e-07
1051,11,2.837732838236665e-07
1108,7,1.8058299879687866e-07
1128,7,1.8058299879687866e-07
2223,3,7.739271377009086e-08
7156,1,2.5797571256696954e-08
2667,2,5.159514251339391e-08
4095,1,2.5797571256696954e-08
13545,1,2.5797571256696954e-08
5520,1,2.5797571256696954e-08
2112,1,2.5797571256696954e-08
3440,1,2.5797571256696954e-08
4574,1,2.5797571256696954e-08
84,12348,0.00031854840987769395
378,213,5.494882677676451e-06
1233,12,3.0957085508036343e-07
2289,2,5.159514251339391e-08
5305,1,2.5797571256696954e-08
4125,1,2.5797571256696954e-08
4926,1,2.5797571256696954e-08
2012,1,2.5797571256696954e-08
2995,1,2.5797571256696954e-08
212,979,2.5255822260306316e-05
779,30,7.739271377009086e-07
2908,1,2.5797571256696954e-08
1362,4,1.0319028502678782e-07
766,36,9.287125652410903e-07
1924,3,7.739271377009086e-08
970,23,5.933441389040299e-07
4506,1,2.5797571256696954e-08
3067,2,5.159514251339391e-08
1501,2,5.159514251339391e-08
2276,1,2.5797571256696954e-08
2546,1,2.5797571256696954e-08
6566,1,2.5797571256696954e-08
2358,2,5.159514251339391e-08
19015,1,2.5797571256696954e-08
3175,1,2.5797571256696954e-08
2926,1,2.5797571256696954e-08
31,124710,0.003217215111422677
516,95,2.4507692693862103e-06
376,203,5.236906965109481e-06
958,14,3.611659975937573e-07
662,43,1.109295564037969e-06
1361,5,1.2898785628348477e-07
1434,9,2.3217814131027257e-07
3570,1,2.5797571256696954e-08
6766,1,2.5797571256696954e-08
1991,4,1.0319028502678782e-07
1811,2,5.159514251339391e-08
2414,3,7.739271377009086e-08
1722,2,5.159514251339391e-08
10768,1,2.5797571256696954e-08
5103,1,2.5797571256696954e-08
4402,1,2.5797571256696954e-08
9413,1,2.5797571256696954e-08
119,4950,0.0001276979777206499
395,161,4.153408972328209e-06
974,16,4.1276114010715126e-07
768,31,7.997247089576056e-07
1440,9,2.3217814131027257e-07
2137,2,5.159514251339391e-08
3099,2,5.159514251339391e-08
13007,1,2.5797571256696954e-08
3989,1,2.5797571256696954e-08
1420,4,1.0319028502678782e-07
7441,1,2.5797571256696954e-08
1940,2,5.159514251339391e-08
3731,1,2.5797571256696954e-08
386,231,5.959238960296996e-06
450,120,3.0957085508036345e-06
326,318,8.203627659629631e-06
596,50,1.2898785628348476e-06
894,20,5.159514251339391e-07
595,59,1.5220567041451201e-06
4553,1,2.5797571256696954e-08
1069,13,3.353684263370604e-07
1513,6,1.5478542754018172e-07
1444,1,2.5797571256696954e-08
1461,2,5.159514251339391e-08
3407,1,2.5797571256696954e-08
2113,1,2.5797571256696954e-08
4501,1,2.5797571256696954e-08
2709,1,2.5797571256696954e-08
2923,1,2.5797571256696954e-08
39,76418,0.0019713988002942676
98,8138,0.0002099406348869998
187,1443,3.7225895323413705e-05
496,96,2.4765668406429075e-06
561,65,1.676842131685302e-06
1297,5,1.2898785628348477e-07
2745,1,2.5797571256696954e-08
845,18,4.6435628262054515e-07
1733,4,1.0319028502678782e-07
4296,1,2.5797571256696954e-08
11103,1,2.5797571256696954e-08
2832,1,2.5797571256696954e-08
2639,1,2.5797571256696954e-08
201,1234,3.183420293076404e-05
402,190,4.901538538772421e-06
232,804,2.074124729038435e-05
1252,10,2.5797571256696954e-07
990,9,2.3217814131027257e-07
1405,4,1.0319028502678782e-07
1141,9,2.3217814131027257e-07
4664,1,2.5797571256696954e-08
2185,3,7.739271377009086e-08
4495,1,2.5797571256696954e-08
1650,6,1.5478542754018172e-07
1548,3,7.739271377009086e-08
3734,1,2.5797571256696954e-08
1975,2,5.159514251339391e-08
2606,1,2.5797571256696954e-08
3486,1,2.5797571256696954e-08
962,9,2.3217814131027257e-07
1504,3,7.739271377009086e-08
773,29,7.481295664442116e-07
1282,6,1.5478542754018172e-07
966,14,3.611659975937573e-07
1269,6,1.5478542754018172e-07
1612,2,5.159514251339391e-08
2397,1,2.5797571256696954e-08
1945,4,1.0319028502678782e-07
12003,1,2.5797571256696954e-08
1624,4,1.0319028502678782e-07
1639,3,7.739271377009086e-08
6717,1,2.5797571256696954e-08
3246,2,5.159514251339391e-08
2979,2,5.159514251339391e-08
2862,2,5.159514251339391e-08
1775,1,2.5797571256696954e-08
203,1137,2.9331838518864435e-05
700,35,9.029149939843934e-07
1482,3,7.739271377009086e-08
1850,3,7.739271377009086e-08
2996,2,5.159514251339391e-08
17980,1,2.5797571256696954e-08
6190,1,2.5797571256696954e-08
1891,1,2.5797571256696954e-08
2922,3,7.739271377009086e-08
2527,1,2.5797571256696954e-08
2348,1,2.5797571256696954e-08
10956,1,2.5797571256696954e-08
3110,2,5.159514251339391e-08
2106,1,2.5797571256696954e-08
2839,1,2.5797571256696954e-08
3050,1,2.5797571256696954e-08
145,2972,7.667038177490334e-05
116,5306,0.00013688191308803402
488,115,2.9667206945201496e-06
2356,2,5.159514251339391e-08
3319,1,2.5797571256696954e-08
4062,1,2.5797571256696954e-08
1602,1,2.5797571256696954e-08
2285,1,2.5797571256696954e-08
2472,1,2.5797571256696954e-08
1942,4,1.0319028502678782e-07
2531,1,2.5797571256696954e-08
1530,8,2.0638057005357563e-07
3469,1,2.5797571256696954e-08
4132,1,2.5797571256696954e-08
2168,1,2.5797571256696954e-08
2247,1,2.5797571256696954e-08
25,192066,0.004954836320988757
814,30,7.739271377009086e-07
1299,11,2.837732838236665e-07
1099,15,3.869635688504543e-07
1472,5,1.2898785628348477e-07
1826,2,5.159514251339391e-08
880,12,3.0957085508036343e-07
2742,2,5.159514251339391e-08
2653,1,2.5797571256696954e-08
1312,9,2.3217814131027257e-07
1893,3,7.739271377009086e-08
1757,2,5.159514251339391e-08
2787,1,2.5797571256696954e-08
2708,1,2.5797571256696954e-08
4826,1,2.5797571256696954e-08
2478,1,2.5797571256696954e-08
2110,2,5.159514251339391e-08
1021,13,3.353684263370604e-07
19309,1,2.5797571256696954e-08
948,18,4.6435628262054515e-07
1805,5,1.2898785628348477e-07
1452,8,2.0638057005357563e-07
2043,1,2.5797571256696954e-08
3036,1,2.5797571256696954e-08
3650,1,2.5797571256696954e-08
6202,1,2.5797571256696954e-08
3463,1,2.5797571256696954e-08
2694,3,7.739271377009086e-08
4900,1,2.5797571256696954e-08
3507,1,2.5797571256696954e-08
1731,3,7.739271377009086e-08
2550,1,2.5797571256696954e-08
8206,1,2.5797571256696954e-08
2026,1,2.5797571256696954e-08
157,2410,6.217214672863966e-05
15491,1,2.5797571256696954e-08
2261,2,5.159514251339391e-08
3818,1,2.5797571256696954e-08
1347,3,7.739271377009086e-08
1048,10,2.5797571256696954e-07
1897,4,1.0319028502678782e-07
1330,11,2.837732838236665e-07
5940,1,2.5797571256696954e-08
181,1658,4.277237314360355e-05
124,4293,0.00011074897340500001
1149,12,3.0957085508036343e-07
363,213,5.494882677676451e-06
586,77,1.9864129867656653e-06
1368,6,1.5478542754018172e-07
5908,1,2.5797571256696954e-08
843,12,3.0957085508036343e-07
1441,4,1.0319028502678782e-07
2621,1,2.5797571256696954e-08
1135,5,1.2898785628348477e-07
1323,8,2.0638057005357563e-07
1592,5,1.2898785628348477e-07
1712,3,7.739271377009086e-08
7992,1,2.5797571256696954e-08
2687,1,2.5797571256696954e-08
1858,3,7.739271377009086e-08
3464,1,2.5797571256696954e-08
4488,1,2.5797571256696954e-08
1535,5,1.2898785628348477e-07
9465,1,2.5797571256696954e-08
2097,2,5.159514251339391e-08
2384,1,2.5797571256696954e-08
686,35,9.029149939843934e-07
3287,1,2.5797571256696954e-08
1016,11,2.837732838236665e-07
852,29,7.481295664442116e-07
1238,7,1.8058299879687866e-07
2887,1,2.5797571256696954e-08
1810,7,1.8058299879687866e-07
2373,1,2.5797571256696954e-08
1785,3,7.739271377009086e-08
1737,1,2.5797571256696954e-08
2849,2,5.159514251339391e-08
4343,1,2.5797571256696954e-08
1935,1,2.5797571256696954e-08
1795,2,5.159514251339391e-08
4903,1,2.5797571256696954e-08
268,580,1.4962591328884233e-05
95,8902,0.00022964997932711626
227,888,2.2908243275946895e-05
925,25,6.449392814174238e-07
562,73,1.8832227017388775e-06
589,56,1.4446639903750293e-06
1246,8,2.0638057005357563e-07
699,34,8.771174227276964e-07
3444,2,5.159514251339391e-08
3098,1,2.5797571256696954e-08
1553,7,1.8058299879687866e-07
3861,1,2.5797571256696954e-08
2297,1,2.5797571256696954e-08
1833,5,1.2898785628348477e-07
3436,1,2.5797571256696954e-08
4192,1,2.5797571256696954e-08
2796,1,2.5797571256696954e-08
13676,1,2.5797571256696954e-08
455,115,2.9667206945201496e-06
369,235,6.062429245323784e-06
413,174,4.4887773986652695e-06
760,35,9.029149939843934e-07
1395,3,7.739271377009086e-08
915,15,3.869635688504543e-07
912,17,4.385587113638482e-07
1721,4,1.0319028502678782e-07
2522,1,2.5797571256696954e-08
820,12,3.0957085508036343e-07
1831,2,5.159514251339391e-08
2759,1,2.5797571256696954e-08
8712,1,2.5797571256696954e-08
143,3038,7.837302147784534e-05
71,18592,0.00047962844480450975
703,35,9.029149939843934e-07
370,215,5.546477820189845e-06
790,25,6.449392814174238e-07
642,47,1.2124858490647568e-06
1274,10,2.5797571256696954e-07
621,57,1.4704615616317262e-06
704,38,9.803077077544843e-07
2903,2,5.159514251339391e-08
1902,4,1.0319028502678782e-07
7367,1,2.5797571256696954e-08
4764,1,2.5797571256696954e-08
3080,2,5.159514251339391e-08
2555,1,2.5797571256696954e-08
3267,1,2.5797571256696954e-08
1960,1,2.5797571256696954e-08
4234,1,2.5797571256696954e-08
3541,1,2.5797571256696954e-08
161,2220,5.7270608189867235e-05
193,1260,3.250493978343816e-05
365,200,5.1595142513393905e-06
443,121,3.1215061220603313e-06
1429,6,1.5478542754018172e-07
1669,6,1.5478542754018172e-07
8303,1,2.5797571256696954e-08
1191,4,1.0319028502678782e-07
1934,2,5.159514251339391e-08
2869,1,2.5797571256696954e-08
2354,2,5.159514251339391e-08
2562,1,2.5797571256696954e-08
6564,1,2.5797571256696954e-08
2649,1,2.5797571256696954e-08
5083,1,2.5797571256696954e-08
2268,3,7.739271377009086e-08
4033,1,2.5797571256696954e-08
3513,1,2.5797571256696954e-08
8628,1,2.5797571256696954e-08
5885,1,2.5797571256696954e-08
2458,1,2.5797571256696954e-08
6,1703721,0.04395186389903099
68,21170,0.0005461345835042745
342,304,7.842461662035874e-06
466,133,3.4310769771406946e-06
1012,10,2.5797571256696954e-07
1520,6,1.5478542754018172e-07
1242,8,2.0638057005357563e-07
713,36,9.287125652410903e-07
3384,2,5.159514251339391e-08
2186,2,5.159514251339391e-08
3665,1,2.5797571256696954e-08
6772,1,2.5797571256696954e-08
2668,1,2.5797571256696954e-08
2740,1,2.5797571256696954e-08
15800,1,2.5797571256696954e-08
72,18039,0.0004653623878995563
215,1037,2.675208139319474e-05
87,11126,0.0002870237778020103
2177,1,2.5797571256696954e-08
756,34,8.771174227276964e-07
1786,7,1.8058299879687866e-07
2968,1,2.5797571256696954e-08
6311,1,2.5797571256696954e-08
1994,1,2.5797571256696954e-08
3328,1,2.5797571256696954e-08
1608,1,2.5797571256696954e-08
3921,1,2.5797571256696954e-08
58,30541,0.0007878836237507817
320,303,7.816664090779176e-06
255,618,1.594289903663872e-05
1773,4,1.0319028502678782e-07
258,648,1.6716826174339625e-05
1259,10,2.5797571256696954e-07
665,38,9.803077077544843e-07
1098,10,2.5797571256696954e-07
883,19,4.901538538772421e-07
2362,3,7.739271377009086e-08
2207,1,2.5797571256696954e-08
854,19,4.901538538772421e-07
1665,4,1.0319028502678782e-07
2795,1,2.5797571256696954e-08
3996,1,2.5797571256696954e-08
9924,1,2.5797571256696954e-08
107,6414,0.00016546562204045425
266,604,1.558173303904496e-05
221,887,2.2882445704690198e-05
424,170,4.385587113638482e-06
271,530,1.3672712766049386e-05
997,9,2.3217814131027257e-07
882,29,7.481295664442116e-07
1150,3,7.739271377009086e-08
1124,14,3.611659975937573e-07
2164,2,5.159514251339391e-08
9532,1,2.5797571256696954e-08
2275,2,5.159514251339391e-08
1769,3,7.739271377009086e-08
1898,2,5.159514251339391e-08
2291,1,2.5797571256696954e-08
7987,1,2.5797571256696954e-08
3005,1,2.5797571256696954e-08
9,1029208,0.026551066717962556
316,352,9.080745082357328e-06
554,61,1.5736518466585142e-06
4660,1,2.5797571256696954e-08
744,31,7.997247089576056e-07
407,171,4.411384684895179e-06
920,11,2.837732838236665e-07
968,12,3.0957085508036343e-07
1476,6,1.5478542754018172e-07
789,29,7.481295664442116e-07
2418,2,5.159514251339391e-08
897,14,3.611659975937573e-07
2429,1,2.5797571256696954e-08
3960,2,5.159514251339391e-08
1675,2,5.159514251339391e-08
