doi,hits,age,citation,datarank_value,i
AE004092,185,11.0,19.0,2.4234001469574507,309239444648
AF302689,197,12.0,,0.6703200460356393,309238274709
AY738222,126,8.0,1.0,0.7930992136071036,317844909873
CP000002,280,8.0,5.0,2.595758750903144,309239517008
CP002290,107,2.0,2.0,0.9542118843915912,335009108163
CP002986,192,1.0,,0.9672161004820059,335009118819
DQ433281,181,6.0,1.0,0.8195054054041412,326428045234
JF967607,278,1.0,,0.9672161004820059,309240045846
AC073210,89,12.0,5.0,0.9973968680952986,309239137303
AL513382,418,11.0,19.0,2.1003103626796924,335009159042
CP000058,688,7.0,5.0,1.0534003933645615,309239517532
DQ525277,270,6.0,,0.8187307530779818,309242424919
EU525299,191,4.0,,0.8751733190429475,326428228673
EU621618,194,4.0,,0.8751733190429475,326428238411
U62636,344,16.0,4.0,4.321461984266454,317844870309
Y08520,599,16.0,,0.5866462195100318,309242999288
AE007871,168,11.0,,0.6930406200864415,309239520131
AF406991,128,11.0,1.0,0.7262586514621174,317844901398
AL123456,981,14.0,32.0,11.679191975717035,335009158381
AM711867,95,5.0,1.0,0.8619748592915487,309239330813
L42023,167,17.0,17.0,1.823806295171104,309240778433
U02458,118,19.0,,0.530819450562014,309242274677
U41319,98,17.0,,0.5674136687970038,326418499170
X65316,112,20.0,1.0,0.657861407005278,317844870547
AM408590,111,6.0,5.0,2.110133812081237,335009169195
AY156793,66,10.0,,0.7165313105737893,326437315932
AY211956,74,9.0,,0.7408182206817179,309254390722
BA000022,165,11.0,7.0,1.671752861712806,309239516224
CP001111,185,4.0,1.0,0.8844725304407854,309239927828
D14876,181,19.0,,0.530819450562014,309239526283
FJ968794,79,3.0,1.0,0.9523374180359595,326418950185
U53719,100,16.0,,0.5866462195100318,326427615712
AE006914,287,11.0,7.0,1.9407096480085504,309239520127
AF074970,181,14.0,,0.6270890852730561,335009086329
AJ315376,64,11.0,,0.6930406200864415,317842651032
AY534343,147,8.0,,0.7659283383646487,309254400036
BX470248,132,9.0,,0.7408182206817179,335022942445
DQ659148,351,6.0,,0.8187307530779818,309238616428
Y14837,144,15.0,1.0,1.5565306597126334,317844870721
Z11684,79,20.0,,0.513417119032592,335009076548
AB680086,91,1.0,,0.9672161004820059,309239416635
AY008909,402,12.0,,0.6703200460356393,309237722796
BA000007,1811,12.0,35.0,4.345059206970058,309239515666
CP001340,104,3.0,1.0,0.918305490878069,309240824544
DQ156484,398,7.0,,0.7918895663367816,309243092080
HM441076,106,2.0,1.0,0.9611826607072934,326433227191
JF784361,148,1.0,,0.9672161004820059,326428602979
AE014075,1366,10.0,32.0,4.420597128407385,309239520161
AE017196,151,9.0,6.0,0.9633296570043477,309239791939
AF187711,181,13.0,,0.6483443410015097,309254238940
AF234315,101,12.0,2.0,0.9374880030899738,317844900882
CP000029,153,8.0,11.0,2.330291363476581,309239517503
JF923572,227,1.0,,0.9672161004820059,309238772403
U55761,88,16.0,7.0,1.4821669074214125,317844870270
X77696,172,18.0,,0.5488116360940264,309237704572
AE016958,137,9.0,10.0,2.409951461451759,309239791926
AF222792,218,12.0,,0.6703200460356393,335009097360
AJ427289,205,10.0,,0.7165313105737893,326428780769
AY677143,69,8.0,,0.7659283383646487,309238478109
CP003150,327,1.0,1.0,0.979395587661493,335009158395
DP000009,106,7.0,2.0,0.8282776832950315,335015427879
KC188772,127,0.0,,1.0,309242796699
U49897,82,16.0,,0.5866462195100318,309239091633
AE001437,150,11.0,8.0,0.8144612350132809,309239444621
AL645771,137,11.0,,0.6930406200864415,335009159084
DQ525242,174,6.0,,0.8187307530779818,309242424884
DQ525263,165,6.0,,0.8187307530779818,309242424905
