doi,hits,i,type,age,value
BA000011 AP000991-AP000996,100,101923140,data,19.0,0.38674102359457113
FJ027496,210,109237237,data,11.0,0.5769498312572171
AJ938182,131,96590427,data,14.0,0.4965853746861674
CP003278,127,103357241,data,7.0,0.7050300454557964
DQ432877,201,108434231,data,13.0,0.5220457788954113
AM406671,130,93727026,data,13.0,0.522050384920281
AY446894 AY156043 AY169797 AY325310,160,98022562,data,17.0,0.4274219207534747
LC057588,87,100081729,data,4.0,0.8188019278405028
EU525475,191,92058376,data,11.0,0.5769498460678815
JQ673480,117,92492134,data,7.0,0.7053720011928793
KR052508,109,94476545,data,4.0,0.8206931429589176
CM000671,65,108820877,data,6.0,0.7408182240067431
FR821779,122,91808369,data,8.0,0.6704458445211028
AP014942,234,98282509,data,4.0,0.8255991176612572
CP003150,327,100234511,data,8.0,0.6710039575098052
CP011882,306,102185441,data,4.0,0.8193858460828222
JX869059,476,85877258,data,7.0,0.7053720011928793
KR061299,135,110866373,data,4.0,0.8187307686027483
AK358277,212,102312565,data,9.0,0.6376281622763414
AL590842 AJ414141-AJ414160,384,95028323,data,18.0,0.4065697019412896
EU938525,233,102858927,data,11.0,0.5769554853717069
AE009949 AE009953-AE010125,78,86961658,data,17.0,0.4274149629982596
AE004092 AE006472-AE006638,185,89692426,data,18.0,0.4066428986036528
AE014299 AE015452-AE015908,164,100877662,data,17.0,0.4276790551952463
AY559043,106,86445802,data,15.0,0.4723666674543849
KF572430,141,96682649,data,6.0,0.7408595332179957
CP000948,549,110900207,data,11.0,0.5769623366560793
AB194088,130,86960802,data,15.0,0.47236659983121065
KJ796490,75,94732259,data,5.0,0.7789951469271478
BC058831,205,95941581,data,16.0,0.4493289641174225
CP001918,108,109211251,data,9.0,0.637659004072795
JQ064510,179,98739521,data,8.0,0.6703726546105752
AF336368,208,109723841,data,18.0,0.406569690790132
AE014075 AE016755 AE016756 AE016757 AE016758 AE016759 AE016760,1366,106475622,data,17.0,0.4274149330987094
FN433596,105,110927912,data,10.0,0.6065615121636551
CP000854,176,93860334,data,12.0,0.5488178992318228
BC005255,316,101273107,data,18.0,0.40656965974080006
AE014613 AE016834 AE016835 AE016836 AE016837 AE016838 AE016839,434,92812381,data,17.0,0.42741501635010776
CP000702 AAWB01000000 AAWB01000001-AAWB01000047,395,101664635,data,12.0,0.5488125819258964
HE966984,73,103661431,data,7.0,0.7046886269626051
FQ312003,239,98443493,data,9.0,0.6376383592557161
AP014957,203,110117873,data,4.0,0.8187716428677698
